//ID	Skill Name	Identify if it is a lifeskill	Class	Left Handed Requirement	Right hand weapon restriction	Body Armor Requirement	Conch usage test	Skill Phase	Skill Type	Useful/Harmful	Learning Level	Prerequisite	Skill Points Consumption	Discharged Status	Apply point	Cast Range	Process target	Attack mode	Angle	Radius	Skill region shape	Skill prophase management formula	Skill adds surface status formula	Skill SP Formula	Durability consumption formula	Top-up consumption formula	Skill Region Formula	Discharge phase formula	effect phase formula	Positive effect forumala	Opposing effect formula	Bind status ID can be removed manually	Self parameter	Self Effect	Consumable	Duration	Target parameter	Splash parameter	Duration on target	Splash Persists Effect	Morph ID	Summon ID	Discharge Duration	Repeated Discharge Duration	Damage Effect	Play Action	action	keyframe	Attack Sound Effect	character dummy	Character Effect	Base Standard Value	item dummy	Item Effect	Item Effect 2	Path of Flight keyfram	character dummy	item dummy	Path of Flight Effect	Path of Flight speed	Attacked Sound Effect	dummy	Character attacked effect	Effect duration point	Surface attacked effect	Water Surface Effect	ICON	Skill Play Count	Operation Execute Command	Description	Effect	Consumption	Remark
0011	Пушечный залп	1	3,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	4	2	45	1000	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	hp=hp(1)-sklv(0)*300	0	0	0	0	0	0	800	2	1	1	-1	115	1	137	0	-1	0,0	0,0	-1	2	-1	1017	1400	139	-1	118	0	0	0	0	0	0	Наносит по цели пушечный залп	0	0	0
0012	Звуковой взрыв	1	3,10	1,0;1,6	1,0;1,6	1,-1	-1	3	1	0	-1	-1	1	1	1	450	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*20	0	0	0	0	0	0	1000	1	1	11	0	116	9	119	0	-1	0,0	0,0	-1	-1	-1	0	0	140	-1	138	0	0	0	0	0	0	Высвобождает силу, наносящую противнику дистанционный урон	0	0	0
0013	Призыв	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	1000	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	0	0	0	0	0	36	0	100000	2	1	11	-1	117	9	120	0	-1	0,0	0,0	0	9	-1	1018	500	141	-1	139	0	0	0	0	0	0	Призывает чудовище, чтобы сражаться за вас	0	0	0
0014	Маскировка	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	0	0	0	0	0	36	0	0	100000	1	1	11	-1	118	9	140	0	-1	0,0	0,0	-1	-1	-1	0	0	142	-1	0	0	0	0	0	0	0	Превращается в вызванное чудовище	0	0	0
0015	Волная волна	1	4,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	1000	4	2	360	500	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-20	0	0	0	hp=hp(1)-sklv(0)*300	0	0	0	0	0	0	2000	2	1	11	-1	119	-1	141	0	-1	0,0	0,0	0	2	-1	1019	600	143	2	121	0	0	0	0	0	0	Attacks target with a gush of water	0	0	0
0016	Циклон	1	4,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1500	4	2	360	200	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	10000	hp=hp(1)-sklv(0)*75	0	0	0	0	0	0	5000	2	1	11	-1	120	0	142	0	-1	0,0	0,0	0	9	-1	1020	600	-1	2	122	0	0	0	0	0	0	Create whirlpools that damages any targets within contact	0	0	0
0017	Священный луч	1	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	1000	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-10	0	0	0	hp=hp(1)+sklv(0)*50	0	0	0	0	0	0	10000-sklv(0)*500	1	1	11	-1	121	-1	123	0	-1	0,0	0,0	-1	-1	-1	0	0	145	-1	124	0	0	0	0	0	0	Восстанавливает небольшое кол-во ЖЗ и наносит урон нежити	0	0	0
0018	Ангел - хранитель	1	6,10	1,-1	1,-1	1,-1	-1	2	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-30	0	0	0	0	0	0	0	0	0	0	5000	0	1	11	-1	122	-1	143	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	Призывает ангела, сражающегося на вашей стороне. Облик меняется с уровнем умения	0	0	0
0019	Благославление	1	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-50	0	0	10000	hp=hp(1)+sklv(0)*30	0	0	0	0	0	0	12000	1	1	11	-1	123	9	125	0	-1	0,0	0,0	-1	-1	-1	0	0	147	2	126	0	0	0	0	0	0	Снимает отрицательные эффекты с дружественных персонаже в определенном радиусе	0	0	0
0020	Заклинание	1	6,10	1,-1	1,-1	1,-1	-1	3	1	0	-1	-1	1	1	3	1000	2	2	360	300	0	0	0	0	0	0	0	0	0	0	0	0	sp=sp(0)-40	0	0	10000	sp=sp(1)+sklv(0)*30	0	0	0	0	0	0	20000	1	1	11	-1	124	2	144	0	-1	0,0	0,0	-1	-1	-1	0	0	148	2	145	0	0	0	0	0	0	Исцеляет  бездействующих  дружественных персонажей в определенном радиусе	0	0	0
0022	Падший Фараон	1	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	1	400	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	-1	-1	-1	147	0	-1	0,0	0,0	-1	-1	-1	0	0	150	-1	0	0	0	0	0	0	0	Превращается в мумию фараона	0	0	0
0023	Отравляющее облако	1	-1,10	1,-1	1,-1	1,-1	-1	5	2	0	-1	-1	1	1	1	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,-1	0	-1	hp=hp(1)-sklv(0)*50	0	0	0	0	0	0	0	1	1	1	-1	-1	-1	128	0	-1	0,0	0,0	-1	-1	-1	0	0	151	-1	0	0	0	0	0	0	0	Создает ядовитое облако, замедляющее и отравляющее цели	0	0	0
0024	Огненный щит	1	-1,10	1,-1	1,-1	1,-1	-1	5	1	0	-1	-1	1	1	3	50	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	-1	128	2	148	0	-1	0,0	0,0	-1	-1	-1	0	0	152	2	153	0	0	0	0	0	0	Создает горящий щит, который наносит урон сталкивающимся с ним целям	0	0	0
0025	Голая рука	1	-1,10	1,0;1,11;1,29	1,0	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	118	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	119	2	131	0	0	0	0	1	0	0	0	0	0
0026	Двойной взрыв	1	-1,10	1,-1	1,-1	1,-1	-1	1	0	0	-1	-1	1	1,2	3	800	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)*2	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	117	2	130	0	0	0	0	0	0	0	0	0	0
0027	Выстрел пушки	1	-1,10	1,-1	1,-1	1,-1	-1	3	0	0	-1	-1	1	2	3	1000	4	2	360	0	4	0	0	0	0	0	SkillArea_Circle_Paodan	0	Skill_Paodan_End	0	0	0	sp=sp(0)-30	0	0	0	hp=hp(1)-sklv(0)*200	0	0	0	0	0	0	1000	2	1	7	-1	146	2	284	0	-1	0,0	0,0	-1	2	-1	1049	1600	147	-1	0	0	316	315	0	0	0	Fragments will deal damage to targets within range	0	0	0
0028	Меч	1	-1,10	1,0;1,11	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	124	2	131	0	0	0	0	1	0	0	0	0	0
0029	Большой меч	1	-1,10	1,-1	1,2	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	126	2	131	0	0	0	0	1	0	0	0	0	0
0030	Лук	1	-1,10	1,3	1,-1	1,-1	-1	0	0	0	-1	-1	1	1	3	900	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	128	-1	0	0	-1	0,0	0,0	0	6	-1	1022	4000	-1	2	131	0	0	0	0	1	0	0	0	0	0
0031	Мушкет	1	-1,10	1,-1	1,4	1,-1	-1	0	0	0	-1	-1	1	1	3	700	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	130	-1	0	0	-1	0,0	0,0	0	-1	1	1015	4000	-1	2	131	0	0	0	0	1	0	0	0	0	0
0032	Клинок	1	-1,10	1,-1	1,5	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	136	2	131	0	0	0	0	1	0	0	0	0	0
0033	Боксерские перчатки	1	-1,10	1,-1	1,6	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	138	2	131	0	0	0	0	1	0	0	0	0	0
0034	Кинжал	1	-1,10	1,-1	1,7	1,-1	-1	0	0	0	-1	-1	1	1	3	100	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	134	2	131	0	0	0	0	1	0	0	0	0	0
0035	Мешочек с золотом	1	-1,10	1,-1	1,8	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	140	2	131	0	0	0	0	1	0	0	0	0	0
0036	Короткий посох	1	-1,10	1,-1	1,9	1,-1	-1	0	0	0	-1	-1	1	1	3	900	4	1	0	0	0	0	0	0	0	0	0	0	Skill_lackart_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	2	1	7,8,9	0	128	-1	0	0	-1	0,0	0,0	0	6	-1	1015	4000	-1	2	131	0	0	0	0	1	0	0	0	0	0
0037	Молот	1	-1,10	1,-1	1,10	1,-1	-1	0	0	0	-1	-1	1	1	3	150	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	144	2	131	0	0	0	0	1	0	0	0	0	0
0038	Двуручное оружие	1	-1,10	1,1	1,1	1,-1	-1	0	0	0	-1	-1	1	1	3	200	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Melee_End	0	0	0	atk=atk(0)+5	0	0	0	0	0	0	0	0	0	0	0	1	1	7,8,9	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	150	2	131	0	0	0	0	1	0	0	0	0	0
0039	Подключение	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	2	1	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	land.tga	0	3,4	0	0	0	0
0040	Отправиться в плавание	0	-1,10	1,-1	1,-1	1,-1	-1	0	0	1	-1	-1	1	1	2	1500	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	11	0	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	ship.tga	0	1,2	0	0	0	0
0042	Взрыв чернил	1	-1,10	1,-1	1,-1	1,-1	-1	-1	-1	0	-1	-1	1	1	3	500	4	1	0	0	0	0	0	0	0	0	0	0	Skill_Range_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Gwptjn	2	1	7	-1	151	-1	0	0	-1	0,0	0,0	0	2	-1	1024	1600	-1	2	226	0	0	0	0	0	0	0	0	0	0
0043	Грозовой удар	1	1,10	1,1	1,1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jfz_Use	Skill_Jfz_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0011.tga	0	0	0	0	0	0
0044	Исследование огнестрельного оружие	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qxyj_Use	Skill_Qxyj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0038.tga	0	0	0	0	0	0
0045	Ангел - благославитель	1	6,10	1,-1	1,0;1,9	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Tsqy	0	0	0	0	Skill_Tsqy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Tsqy	0	1	7	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	164	0	0	0	s0061.tga	0	0	0	0	0	0
0046	Удар на пари	1	1,10	1,-1	1,2	1,-1	-1	2	2	0	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Smyb_Use	Skill_Smyb_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0003.tga	0	0	0	0	0	0
0047	Косой удар фантома	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Gz	0	0	0	0	Skill_Gz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	7	0	-1	-1	0	0	1	122,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0015.tga	0	0	0	0	0	0
0048	Лечение	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Jd	0	0	0	0	Skill_Jd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Jd	0	1	11	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	128	0	0	0	s0019.tga	0	0	0	0	0	0
0049	Слепой	1	1,10	1,1	1,1	1,-1	-1	2	1	0	-1	-1	1	1	1	200	4	1	0	0	0	0	0	SkillSp_Cm	0	0	0	0	Skill_Cm_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Zjcm	0	1	7	0	-1	-1	0	0	1	126,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0020.tga	0	0	0	0	0	0
0050	Предохранительный щит	1	1,10	1,11	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zhzd_Use	Skill_Zhzd_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0022.tga	0	0	0	0	0	0
0051	Щит мороза	1	1,10	1,11	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	SkillSp_Bshd	0	0	0	0	Skill_Bshd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Bshd	0	1	7	0	11	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	129	0	0	0	s0024.tga	0	0	0	0	0	0
0052	Очищенный порох	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jlhy_Use	Skill_Jlhy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0052.tga	0	0	0	0	0	0
0053	Слабость атаки	1	2,10	1,-1	1,4	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Rdgj_Use	Skill_Rdgj_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0040.tga	0	0	0	0	0	0
0054	Благославление ангела	1	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Qy_Use	Skill_Qy_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0049.tga	0	0	0	0	0	0
0055	Просвящение	1	6,10	1,-1	1,-1	1,-1	-1	2	2	1	-1	-1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Zf_Use	Skill_Zf_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0050.tga	0	0	0	0	0	0
0056	Адские крылья	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Lyzy	0	0	0	0	Skill_Lyzy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Lyzy	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	151	0	0	0	s0055.tga	0	0	0	0	0	0
0057	Священный луч	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Shzg	0	0	0	0	Skill_Shzg_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Shzg	0	1	11	0	-1	-1	137	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	153	0	0	0	s0056.tga	0	0	0	0	0	0
0058	Святая геральдика	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Szwz	0	0	0	0	Skill_Szwz_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	11	0	-1	-1	0	0	1	150,0	0,0	-1	-1	-1	0	0	-1	-1	162	0	0	0	s0060.tga	0	0	0	0	0	0
0059	Луч удачи	1	6,10	1,-1	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	600	2	1	0	0	0	0	0	SkillSp_Xyzg	0	0	0	0	Skill_Xyzg_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	1	11	0	-1	-1	0	0	1	167,0	0,0	-1	-1	-1	0	0	-1	-1	168	0	0	0	s0063.tga	0	0	0	0	0	0
0060	Пересечение	1	2,10	1,3	1,-1	1,-1	-1	2	1	1	-1	-1	1	1	1	0	4	1	0	0	0	0	0	SkillSp_Clcy	0	0	0	0	Skill_Clcy_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Clcy	0	1	7	0	-1	-1	137	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	2	103	0	0	0	s0030.tga	0	0	0	0	0	0
0061	Адский взрыв	1	2,10	1,-1	1,4	1,-1	-1	2	1	0	-1	-1	1	1	1	600	4	2	0	0	2	0	0	SkillSp_Ssd	0	0	SkillArea_Sector_Ssd	0	Skill_Ssd_End	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SkillCooldown_Hyps	2	1	7	0	-1	-1	145	0	1	108,0	0,0	0	-1	1	2000	5000	-1	2	109	0	0	0	s0045.tga	0	0	0	0	0	0
0062	Мастер владения мечом	1	1,10;8,10;9,10	1,-1	1,1;1,2	1,-1	-1	2	2	1	-1	66,2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	Skill_Jssl_Use	Skill_Jssl_Unuse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	0	0	-1	0,0	0,0	-1	-1	-1	0	0	-1	-1	0	0	0	0	s0062.tga	0	0	Атака становится сильнее, если выбран меч	Урон увеличивается на 4 с каждым уровнем навыка	Пассивный	0
